200,    T1,     T1,                 #DD0035
200,    SKT,    SK Telecom T1
201,    DRX,    DragonX,            #6588FE
201,    KZ,     Kingzone DragonX
201,    LZ,     Longzhu Gaming
202,    KT,     KT Rolster,         #E8112A
203,    GEN,    Gen.G,              #A98E30
203,    KSV,    KSV eSports
203,    SSG,    Samsung Galaxy
204,    HLE,    Hanwha Life Esports,#EE7529
205,    AF,     Afreeca Freecs,     #3381FE
206,    DWG,    DAMWON Gaming,      #5A989D
207,    SB,     SANDBOX Gaming,     #7E0121
208,    GRF,    Griffin,            #D30C24
209,    APK,    APK Prince,         #D3454A
210,    JAG,    Jin Air Green Wings,#21AB39
211,    MVP,    MVP,                #2774BD
212,    KDM,    Kongdoo Monster,    #408B77
213,    BBQ,    bbq Olivers,        #F18F1D
214,    ROX,    ROX Tigers,         #E23F19