100,    XL,     Excel Esports,          #DF4400
101,    S04,    FC Schalke 04 Esports,  #004B9C
102,    FNC,    Fnatic,                 #F19D33
103,    G2,     G2 Esports,             #2E2E2E
104,    MSF,    Misfits Gaming,         #A60E29
105,    OG,     Origen,                 #141F72
106,    RGE,    Rogue (European Team),  #2D97D3
107,    SK,     SK Gaming,              #101B48
108,    MAD,    MAD Lions,              #DFB566
108,    SPY,    Splyce,                 #EEBB09
109,    VIT,    Team Vitality,          #FdC04B
110,    UOL,    Unicorns Of Love,       #E85F86
111,    H2k,    H2k-Gaming,             #4B93B9
112,    ROC,    Team ROCCAT,            #429ED6
113,    GIA,    Giants Gaming,          #5785C6
114,    MM,     Mysterious Monkeys
115,    EL,     Elements
116,    NIP,    Ninjas in Pyjamas
117,    GMB,    Gambit Gaming
118,    CW,     Copenhagen Wolves
119,    MYM,    MeetYourMakers